"","DROPDOWN KOTA/KAB ALAMAT KTP dan ASAL PENGCAB","","","DROPDOWN KELAHIRAN","","","No","Handball/Umum","Kelompok Status","Nama Profesi","Sumber","","","","","","","","","",""
"30","Kab. Banjar","Kalimantan Selatan","","Bangka Tengah","Kep. Bangka Belitung","","32","Handball","Team Official","Team Manager","Regulasi Kompetisi IHF (21 Agu 2024), I.3.2.2 (sebagai fungsi)","","","","","","","","","",""
"31","Kab. Banjarnegara","Jawa Tengah","","Bangkalan","Jawa Timur","","33","Handball","Team Official","Responsible Team Official","Rules of the Game Indoor (1 Jul 2022), Rule 4:2","","","","","","","","","",""
"32","Kab. Bantaeng","Sulawesi Selatan","","Bangli","Bali","","34","Umum","Agency Official","Instruktur","Coaching Education Regulations (12 Agu 2023), Art. 6 (lecturer sebagai instruktur)","","","","","","","","","",""
"33","Kab. Bantul","DI Yogyakarta","","Banjar","Kalimantan Selatan","","35","Umum","Agency Official","Fasilitator Olahraga","Daftar umum","","","","","","","","","",""
"34","Kab. Banyuasin","Sumatera Selatan","","Banjar","Jawa Barat","","36","Umum","Agency Official","Konsultan Industri Olahraga","Daftar umum","","","","","","","","","",""
"35","Kab. Banyumas","Jawa Tengah","","Banjarbaru","Kalimantan Selatan","","37","Umum","Agency Official","Penyuluh","Daftar umum","","","","","","","","","",""
"36","Kab. Banyuwangi","Jawa Timur","","Banjarmasin","Kalimantan Selatan","","38","Umum","Agency Official","Ahli Hukum (Olahraga)","Daftar umum (luar regulasi IHF)","","","","","","","","","",""
"37","Kab. Barito Kuala","Kalimantan Selatan","","Banjarnegara","Jawa Tengah","","39","Umum","Event Officer","Liaison Officer","Media Regulations (Sep 2007), 2.1 (media liaison officer)","","","","","","","","","",""
"38","Kab. Barito Selatan","Kalimantan Tengah","","Bantaeng","Sulawesi Selatan","","40","Umum","Event Official","Interpreter","Media Regulations (Sep 2007), point 2.4","","","","","","","","","",""
"39","Kab. Barito Timur","Kalimantan Tengah","","Bantul","DI Yogyakarta","","41","Umum","Match Official","Medis Pertandingan","Regulasi Kompetisi IHF (21 Agu 2024), I.3.5 (medical care)","","","","","","","","","",""
"40","Kab. Barito Utara","Kalimantan Tengah","","Banyuasin","Sumatera Selatan","","42","Umum","Media Official","Media Publisher","Daftar umum","","","","","","","","","",""
"41","Kab. Barru","Sulawesi Selatan","","Banyumas","Jawa Tengah","","43","Umum","Media Official","Jurnalis Olahraga","Media Regulations (Sep 2007), 1.1","","","","","","","","","",""
"42","Kab. Batang","Jawa Tengah","","Banyuwangi","Jawa Timur","","44","Umum","Media Official","Photographer","Media Regulations (Sep 2007), point 1.1, 2.3, 3.2.1","","","","","","","","","",""
"43","Kab. Batanghari","Jambi","","Barito Kuala","Kalimantan Selatan","","45","Umum","Media Official","Webmaster","Media Regulations (Sep 2007), point 3.2.1","","","","","","","","","",""
"44","Kab. Batu Bara","Sumatera Utara","","Barito Selatan","Kalimantan Tengah","","46","Umum","Media Official","Sport Announcer","Regulasi Kompetisi IHF (21 Agu 2024), I.3.4.1","","","","","","","","","",""
"45","Kab. Bekasi","Jawa Barat","","Barito Timur","Kalimantan Tengah","","47","Umum","Media Official","Media Officer","Regulasi Kompetisi IHF (21 Agu 2024), II.4.6.2","","","","","","","","","",""
