"","DROPDOWN KOTA/KAB ALAMAT KTP dan ASAL PENGCAB","","","DROPDOWN KELAHIRAN","","","No","Handball/Umum","Kelompok Status","Nama Profesi","Sumber","","","","","","","","","",""
"168","Kab. Kolaka Utara","Sulawesi Tenggara","","Karo","Sumatera Utara","","","","","","","","","","","","","","","",""
"169","Kab. Konawe","Sulawesi Tenggara","","Katingan","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"170","Kab. Konawe Kep.","Sulawesi Tenggara","","Kaur","Bengkulu","","","","","","","","","","","","","","","",""
"171","Kab. Konawe Selatan","Sulawesi Tenggara","","Kayong Utara","Kalimantan Barat","","","","","","","","","","","","","","","",""
"172","Kab. Konawe Utara","Sulawesi Tenggara","","Kebumen","Jawa Tengah","","","","","","","","","","","","","","","",""
"173","Kab. Kotabaru","Kalimantan Selatan","","Kediri","Jawa Timur","","","","","","","","","","","","","","","",""
"174","Kab. Kotawaringin Barat","Kalimantan Tengah","","Keerom","Papua","","","","","","","","","","","","","","","",""
"175","Kab. Kotawaringin Timur","Kalimantan Tengah","","Kendal","Jawa Tengah","","","","","","","","","","","","","","","",""
"176","Kab. Kuantan Singingi","Riau","","Kendari","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"177","Kab. Kubu Raya","Kalimantan Barat","","Kepahiang","Bengkulu","","","","","","","","","","","","","","","",""
"178","Kab. Kudus","Jawa Tengah","","Kep. Anambas","Kep. Riau","","","","","","","","","","","","","","","",""
"179","Kab. Kulon Progo","DI Yogyakarta","","Kep. Aru","Maluku","","","","","","","","","","","","","","","",""
"180","Kab. Kuningan","Jawa Barat","","Kep. Mentawai","Sumatera Barat","","","","","","","","","","","","","","","",""
"181","Kab. Kupang","Nusa Tenggara Timur","","Kep. Meranti","Riau","","","","","","","","","","","","","","","",""
"182","Kab. Kutai Barat","Kalimantan Timur","","Kep. Sangihe","Sulawesi Utara","","","","","","","","","","","","","","","",""
"183","Kab. Kutai Kartanegara","Kalimantan Timur","","Kep. Selayar","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"184","Kab. Kutai Timur","Kalimantan Timur","","Kep. Seribu","DKI Jakarta","","","","","","","","","","","","","","","",""
"185","Kab. Labuhanbatu","Sumatera Utara","","Kep. Siau Tagulandang Biaro","Sulawesi Utara","","","","","","","","","","","","","","","",""
"186","Kab. Labuhanbatu Selatan","Sumatera Utara","","Kep. Sula","Maluku Utara","","","","","","","","","","","","","","","",""
"187","Kab. Labuhanbatu Utara","Sumatera Utara","","Kep. Talaud","Sulawesi Utara","","","","","","","","","","","","","","","",""
"188","Kab. Lahat","Sumatera Selatan","","Kep. Tanimbar","Maluku","","","","","","","","","","","","","","","",""
"189","Kab. Lamandau","Kalimantan Tengah","","Kep. Yapen","Papua","","","","","","","","","","","","","","","",""
"190","Kab. Lamongan","Jawa Timur","","Kerinci","Jambi","","","","","","","","","","","","","","","",""
"191","Kab. Lampung Barat","Lampung","","Ketapang","Kalimantan Barat","","","","","","","","","","","","","","","",""
"192","Kab. Lampung Selatan","Lampung","","Klaten","Jawa Tengah","","","","","","","","","","","","","","","",""
"193","Kab. Lampung Tengah","Lampung","","Klungkung","Bali","","","","","","","","","","","","","","","",""
"194","Kab. Lampung Timur","Lampung","","Kolaka","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"195","Kab. Lampung Utara","Lampung","","Kolaka Timur","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"196","Kab. Landak","Kalimantan Barat","","Kolaka Utara","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"197","Kab. Langkat","Sumatera Utara","","Konawe","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"198","Kab. Lanny Jaya","Papua Pegunungan","","Konawe Kep.","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"199","Kab. Lebak","Banten","","Konawe Selatan","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"200","Kab. Lebong","Bengkulu","","Konawe Utara","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"201","Kab. Lembata","Nusa Tenggara Timur","","Kotabaru","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"202","Kab. Lima Puluh Kota","Sumatera Barat","","Kotamobagu","Sulawesi Utara","","","","","","","","","","","","","","","",""
"203","Kab. Lingga","Kep. Riau","","Kotawaringin Barat","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"204","Kab. Lombok Barat","Nusa Tenggara Barat","","Kotawaringin Timur","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"205","Kab. Lombok Tengah","Nusa Tenggara Barat","","Kuantan Singingi","Riau","","","","","","","","","","","","","","","",""
"206","Kab. Lombok Timur","Nusa Tenggara Barat","","Kubu Raya","Kalimantan Barat","","","","","","","","","","","","","","","",""
"207","Kab. Lombok Utara","Nusa Tenggara Barat","","Kudus","Jawa Tengah","","","","","","","","","","","","","","","",""
"208","Kab. Lumajang","Jawa Timur","","Kulon Progo","DI Yogyakarta","","","","","","","","","","","","","","","",""
"209","Kab. Luwu","Sulawesi Selatan","","Kuningan","Jawa Barat","","","","","","","","","","","","","","","",""
"210","Kab. Luwu Timur","Sulawesi Selatan","","Kupang","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"211","Kab. Luwu Utara","Sulawesi Selatan","","Kutai Barat","Kalimantan Timur","","","","","","","","","","","","","","","",""
"212","Kab. Madiun","Jawa Timur","","Kutai Kartanegara","Kalimantan Timur","","","","","","","","","","","","","","","",""
"213","Kab. Magelang","Jawa Tengah","","Kutai Timur","Kalimantan Timur","","","","","","","","","","","","","","","",""
"214","Kab. Magetan","Jawa Timur","","Labuhanbatu","Sumatera Utara","","","","","","","","","","","","","","","",""
"215","Kab. Mahakam Ulu","Kalimantan Timur","","Labuhanbatu Selatan","Sumatera Utara","","","","","","","","","","","","","","","",""
"216","Kab. Majalengka","Jawa Barat","","Labuhanbatu Utara","Sumatera Utara","","","","","","","","","","","","","","","",""
"217","Kab. Majene","Sulawesi Barat","","Lahat","Sumatera Selatan","","","","","","","","","","","","","","","",""
"218","Kab. Malaka","Nusa Tenggara Timur","","Lamandau","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"219","Kab. Malang","Jawa Timur","","Lamongan","Jawa Timur","","","","","","","","","","","","","","","",""
"220","Kab. Malinau","Kalimantan Utara","","Lampung Barat","Lampung","","","","","","","","","","","","","","","",""
"221","Kab. Maluku Barat Daya","Maluku","","Lampung Selatan","Lampung","","","","","","","","","","","","","","","",""
"222","Kab. Maluku Tengah","Maluku","","Lampung Tengah","Lampung","","","","","","","","","","","","","","","",""
"223","Kab. Maluku Tenggara","Maluku","","Lampung Timur","Lampung","","","","","","","","","","","","","","","",""
"224","Kab. Mamasa","Sulawesi Barat","","Lampung Utara","Lampung","","","","","","","","","","","","","","","",""
"225","Kab. Mamberamo Raya","Papua","","Landak","Kalimantan Barat","","","","","","","","","","","","","","","",""
"226","Kab. Mamberamo Tengah","Papua Tengah","","Langkat","Sumatera Utara","","","","","","","","","","","","","","","",""
"227","Kab. Mamuju","Sulawesi Barat","","Langsa","Aceh","","","","","","","","","","","","","","","",""
"228","Kab. Mamuju Tengah","Sulawesi Barat","","Lanny Jaya","Papua Pegunungan","","","","","","","","","","","","","","","",""
"229","Kab. Mandailing Natal","Sumatera Utara","","Lebak","Banten","","","","","","","","","","","","","","","",""
"230","Kab. Manggarai","Nusa Tenggara Timur","","Lebong","Bengkulu","","","","","","","","","","","","","","","",""
"231","Kab. Manggarai Barat","Nusa Tenggara Timur","","Lembata","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"232","Kab. Manggarai Timur","Nusa Tenggara Timur","","Lhokseumawe","Aceh","","","","","","","","","","","","","","","",""
"233","Kab. Manokwari","Papua Barat","","Lima Puluh Kota","Sumatera Barat","","","","","","","","","","","","","","","",""
"234","Kab. Manokwari Selatan","Papua Barat","","Lingga","Kep. Riau","","","","","","","","","","","","","","","",""
"235","Kab. Mappi","Papua Selatan","","Lombok Barat","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"236","Kab. Maros","Sulawesi Selatan","","Lombok Tengah","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"237","Kab. Maybrat","Papua Barat Daya","","Lombok Timur","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"238","Kab. Melawi","Kalimantan Barat","","Lombok Utara","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"239","Kab. Mempawah","Kalimantan Barat","","Lubuk Linggau","Sumatera Selatan","","","","","","","","","","","","","","","",""
"240","Kab. Merangin","Jambi","","Lumajang","Jawa Timur","","","","","","","","","","","","","","","",""
"241","Kab. Merauke","Papua Selatan","","Luwu","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"242","Kab. Mesuji","Lampung","","Luwu Timur","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"243","Kab. Mimika","Papua Tengah","","Luwu Utara","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"244","Kab. Minahasa","Sulawesi Utara","","Madiun","Jawa Timur","","","","","","","","","","","","","","","",""
"245","Kab. Minahasa Selatan","Sulawesi Utara","","Magelang","Jawa Tengah","","","","","","","","","","","","","","","",""
"246","Kab. Minahasa Tenggara","Sulawesi Utara","","Magetan","Jawa Timur","","","","","","","","","","","","","","","",""
"247","Kab. Minahasa Utara","Sulawesi Utara","","Mahakam Ulu","Kalimantan Timur","","","","","","","","","","","","","","","",""
"248","Kab. Mojokerto","Jawa Timur","","Majalengka","Jawa Barat","","","","","","","","","","","","","","","",""
"249","Kab. Morowali","Sulawesi Tengah","","Majene","Sulawesi Barat","","","","","","","","","","","","","","","",""
"250","Kab. Morowali Utara","Sulawesi Tengah","","Makassar","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"251","Kab. Muara Enim","Sumatera Selatan","","Malaka","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"252","Kab. Muaro Jambi","Jambi","","Malang","Jawa Timur","","","","","","","","","","","","","","","",""
"253","Kab. Mukomuko","Bengkulu","","Malinau","Kalimantan Utara","","","","","","","","","","","","","","","",""
"254","Kab. Muna","Sulawesi Tenggara","","Maluku Barat Daya","Maluku","","","","","","","","","","","","","","","",""
"255","Kab. Muna Barat","Sulawesi Tenggara","","Maluku Tengah","Maluku","","","","","","","","","","","","","","","",""
"256","Kab. Murung Raya","Kalimantan Tengah","","Maluku Tenggara","Maluku","","","","","","","","","","","","","","","",""
"257","Kab. Musi Banyuasin","Sumatera Selatan","","Mamasa","Sulawesi Barat","","","","","","","","","","","","","","","",""
"258","Kab. Musi Rawas","Sumatera Selatan","","Mamberamo Raya","Papua","","","","","","","","","","","","","","","",""
"259","Kab. Musi Rawas Utara","Sumatera Selatan","","Mamberamo Tengah","Papua Pegunungan","","","","","","","","","","","","","","","",""
"260","Kab. Nabire","Papua Tengah","","Mamuju","Sulawesi Barat","","","","","","","","","","","","","","","",""
"261","Kab. Nagan Raya","Aceh","","Mamuju Tengah","Sulawesi Barat","","","","","","","","","","","","","","","",""
"262","Kab. Nagekeo","Nusa Tenggara Timur","","Manado","Sulawesi Utara","","","","","","","","","","","","","","","",""
"263","Kab. Natuna","Kep. Riau","","Mandailing Natal","Sumatera Utara","","","","","","","","","","","","","","","",""
"264","Kab. Nduga","Papua Pegunungan","","Manggarai","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"265","Kab. Ngada","Nusa Tenggara Timur","","Manggarai Barat","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"266","Kab. Nganjuk","Jawa Timur","","Manggarai Timur","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"267","Kab. Ngawi","Jawa Timur","","Manokwari","Papua Barat","","","","","","","","","","","","","","","",""
"268","Kab. Nias","Sumatera Utara","","Manokwari Selatan","Papua Barat","","","","","","","","","","","","","","","",""
"269","Kab. Nias Barat","Sumatera Utara","","Mappi","Papua Selatan","","","","","","","","","","","","","","","",""
"270","Kab. Nias Selatan","Sumatera Utara","","Maros","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"271","Kab. Nias Utara","Sumatera Utara","","Mataram","Nusa Tenggara Barat","","","","","","","","","","","","","","","",""
"272","Kab. Nunukan","Kalimantan Utara","","Maybrat","Papua Barat Daya","","","","","","","","","","","","","","","",""
"273","Kab. Ogan Ilir","Sumatera Selatan","","Medan","Sumatera Utara","","","","","","","","","","","","","","","",""
"274","Kab. Ogan Komering Ilir","Sumatera Selatan","","Melawi","Kalimantan Barat","","","","","","","","","","","","","","","",""
"275","Kab. Ogan Komering Ulu","Sumatera Selatan","","Mempawah","Kalimantan Barat","","","","","","","","","","","","","","","",""
"276","Kab. Ogan Komering Ulu Selatan","Sumatera Selatan","","Merangin","Jambi","","","","","","","","","","","","","","","",""
"277","Kab. Ogan Komering Ulu Timur","Sumatera Selatan","","Merauke","Papua Selatan","","","","","","","","","","","","","","","",""
"278","Kab. Pacitan","Jawa Timur","","Mesuji","Lampung","","","","","","","","","","","","","","","",""
"279","Kab. Padang Lawas","Sumatera Utara","","Metro","Lampung","","","","","","","","","","","","","","","",""
"280","Kab. Padang Lawas Utara","Sumatera Utara","","Mimika","Papua Tengah","","","","","","","","","","","","","","","",""
"281","Kab. Padang Pariaman","Sumatera Barat","","Minahasa","Sulawesi Utara","","","","","","","","","","","","","","","",""
"282","Kab. Pakpak Bharat","Sumatera Utara","","Minahasa Selatan","Sulawesi Utara","","","","","","","","","","","","","","","",""
"283","Kab. Pamekasan","Jawa Timur","","Minahasa Tenggara","Sulawesi Utara","","","","","","","","","","","","","","","",""
"284","Kab. Pandeglang","Banten","","Minahasa Utara","Sulawesi Utara","","","","","","","","","","","","","","","",""
"285","Kab. Pangandaran","Jawa Barat","","Mojokerto","Jawa Timur","","","","","","","","","","","","","","","",""
"286","Kab. Pangkajene Dan Kep.","Sulawesi Selatan","","Morowali","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"287","Kab. Paniai","Papua Tengah","","Morowali Utara","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"288","Kab. Parigi Moutong","Sulawesi Tengah","","Muara Enim","Sumatera Selatan","","","","","","","","","","","","","","","",""
"289","Kab. Pasaman","Sumatera Barat","","Muaro Jambi","Jambi","","","","","","","","","","","","","","","",""
"290","Kab. Pasaman Barat","Sumatera Barat","","Mukomuko","Bengkulu","","","","","","","","","","","","","","","",""
"291","Kab. Pasangkayu","Sulawesi Barat","","Muna","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"292","Kab. Paser","Kalimantan Timur","","Muna Barat","Sulawesi Tenggara","","","","","","","","","","","","","","","",""
"293","Kab. Pasuruan","Jawa Timur","","Murung Raya","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"294","Kab. Pati","Jawa Tengah","","Musi Banyuasin","Sumatera Selatan","","","","","","","","","","","","","","","",""
"295","Kab. Pegunungan Arfak","Papua Barat","","Musi Rawas","Sumatera Selatan","","","","","","","","","","","","","","","",""
"296","Kab. Pegunungan Bintang","Papua Pegunungan","","Musi Rawas Utara","Sumatera Selatan","","","","","","","","","","","","","","","",""
"297","Kab. Pekalongan","Jawa Tengah","","Nabire","Papua Tengah","","","","","","","","","","","","","","","",""
"298","Kab. Pelalawan","Riau","","Nagan Raya","Aceh","","","","","","","","","","","","","","","",""
"299","Kab. Pemalang","Jawa Tengah","","Nagekeo","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"300","Kab. Penajam Paser Utara","Kalimantan Timur","","Natuna","Kep. Riau","","","","","","","","","","","","","","","",""
"301","Kab. Penukal Abab Lematang Ilir","Sumatera Selatan","","Nduga","Papua Pegunungan","","","","","","","","","","","","","","","",""
"302","Kab. Pesawaran","Lampung","","Ngada","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"303","Kab. Pesisir Barat","Lampung","","Nganjuk","Jawa Timur","","","","","","","","","","","","","","","",""
"304","Kab. Pesisir Selatan","Sumatera Barat","","Ngawi","Jawa Timur","","","","","","","","","","","","","","","",""
"305","Kab. Pidie","Aceh","","Nias","Sumatera Utara","","","","","","","","","","","","","","","",""
"306","Kab. Pidie Jaya","Aceh","","Nias Barat","Sumatera Utara","","","","","","","","","","","","","","","",""
"307","Kab. Pinrang","Sulawesi Selatan","","Nias Selatan","Sumatera Utara","","","","","","","","","","","","","","","",""
"308","Kab. Pohuwato","Gorontalo","","Nias Utara","Sumatera Utara","","","","","","","","","","","","","","","",""
"309","Kab. Polewali Mandar","Sulawesi Barat","","Nunukan","Kalimantan Utara","","","","","","","","","","","","","","","",""
"310","Kab. Ponorogo","Jawa Timur","","Ogan Ilir","Sumatera Selatan","","","","","","","","","","","","","","","",""
"311","Kab. Poso","Sulawesi Tengah","","Ogan Komering Ilir","Sumatera Selatan","","","","","","","","","","","","","","","",""
"312","Kab. Pringsewu","Lampung","","Ogan Komering Ulu","Sumatera Selatan","","","","","","","","","","","","","","","",""
"313","Kab. Probolinggo","Jawa Timur","","Ogan Komering Ulu Selatan","Sumatera Selatan","","","","","","","","","","","","","","","",""
"314","Kab. Pulang Pisau","Kalimantan Tengah","","Ogan Komering Ulu Timur","Sumatera Selatan","","","","","","","","","","","","","","","",""
"315","Kab. Pulau Morotai","Maluku Utara","","Pacitan","Jawa Timur","","","","","","","","","","","","","","","",""
"316","Kab. Pulau Taliabu","Maluku Utara","","Padang","Sumatera Barat","","","","","","","","","","","","","","","",""
"317","Kab. Puncak","Papua Tengah","","Padang Lawas","Sumatera Utara","","","","","","","","","","","","","","","",""
"318","Kab. Puncak Jaya","Papua Tengah","","Padang Lawas Utara","Sumatera Utara","","","","","","","","","","","","","","","",""
"319","Kab. Purbalingga","Jawa Tengah","","Padang Panjang","Sumatera Barat","","","","","","","","","","","","","","","",""
"320","Kab. Purwakarta","Jawa Barat","","Padang Pariaman","Sumatera Barat","","","","","","","","","","","","","","","",""
"321","Kab. Purworejo","Jawa Tengah","","Padangsidimpuan","Sumatera Utara","","","","","","","","","","","","","","","",""
"322","Kab. Raja Ampat","Papua Barat Daya","","Pagar Alam","Sumatera Selatan","","","","","","","","","","","","","","","",""
"323","Kab. Rejang Lebong","Bengkulu","","Pakpak Bharat","Sumatera Utara","","","","","","","","","","","","","","","",""
"324","Kab. Rembang","Jawa Tengah","","Palangka Raya","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"325","Kab. Rokan Hilir","Riau","","Palembang","Sumatera Selatan","","","","","","","","","","","","","","","",""
"326","Kab. Rokan Hulu","Riau","","Palopo","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"327","Kab. Rote Ndao","Nusa Tenggara Timur","","Palu","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"328","Kab. Sabu Raijua","Nusa Tenggara Timur","","Pamekasan","Jawa Timur","","","","","","","","","","","","","","","",""
"329","Kab. Sambas","Kalimantan Barat","","Pandeglang","Banten","","","","","","","","","","","","","","","",""
"330","Kab. Samosir","Sumatera Utara","","Pangandaran","Jawa Barat","","","","","","","","","","","","","","","",""
"331","Kab. Sampang","Jawa Timur","","Pangkajene Dan Kep.","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"332","Kab. Sanggau","Kalimantan Barat","","Pangkalpinang","Kep. Bangka Belitung","","","","","","","","","","","","","","","",""
"333","Kab. Sarmi","Papua","","Paniai","Papua Tengah","","","","","","","","","","","","","","","",""
"334","Kab. Sarolangun","Jambi","","Parepare","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"335","Kab. Sekadau","Kalimantan Barat","","Pariaman","Sumatera Barat","","","","","","","","","","","","","","","",""
"336","Kab. Seluma","Bengkulu","","Parigi Moutong","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"337","Kab. Semarang","Jawa Tengah","","Pasaman","Sumatera Barat","","","","","","","","","","","","","","","",""
"338","Kab. Seram Bagian Barat","Maluku","","Pasaman Barat","Sumatera Barat","","","","","","","","","","","","","","","",""
"339","Kab. Seram Bagian Timur","Maluku","","Pasangkayu","Sulawesi Barat","","","","","","","","","","","","","","","",""
"340","Kab. Serang","Banten","","Paser","Kalimantan Timur","","","","","","","","","","","","","","","",""
"341","Kab. Serdang Bedagai","Sumatera Utara","","Pasuruan","Jawa Timur","","","","","","","","","","","","","","","",""
"342","Kab. Seruyan","Kalimantan Tengah","","Pati","Jawa Tengah","","","","","","","","","","","","","","","",""
"343","Kab. Siak","Riau","","Payakumbuh","Sumatera Barat","","","","","","","","","","","","","","","",""
"344","Kab. Sidenreng Rappang","Sulawesi Selatan","","Pegunungan Arfak","Papua Barat","","","","","","","","","","","","","","","",""
"345","Kab. Sidoarjo","Jawa Timur","","Pegunungan Bintang","Papua Pegunungan","","","","","","","","","","","","","","","",""
"346","Kab. Sigi","Sulawesi Tengah","","Pekalongan","Jawa Tengah","","","","","","","","","","","","","","","",""
"347","Kab. Sijunjung","Sumatera Barat","","Pekanbaru","Riau","","","","","","","","","","","","","","","",""
"348","Kab. Sikka","Nusa Tenggara Timur","","Pelalawan","Riau","","","","","","","","","","","","","","","",""
"349","Kab. Simalungun","Sumatera Utara","","Pemalang","Jawa Tengah","","","","","","","","","","","","","","","",""
"350","Kab. Simeulue","Aceh","","Pematangsiantar","Sumatera Utara","","","","","","","","","","","","","","","",""
"351","Kab. Sinjai","Sulawesi Selatan","","Penajam Paser Utara","Kalimantan Timur","","","","","","","","","","","","","","","",""
"352","Kab. Sintang","Kalimantan Barat","","Penukal Abab Lematang Ilir","Sumatera Selatan","","","","","","","","","","","","","","","",""
"353","Kab. Situbondo","Jawa Timur","","Pesawaran","Lampung","","","","","","","","","","","","","","","",""
"354","Kab. Sleman","DI Yogyakarta","","Pesisir Barat","Lampung","","","","","","","","","","","","","","","",""
"355","Kab. Solok","Sumatera Barat","","Pesisir Selatan","Sumatera Barat","","","","","","","","","","","","","","","",""
"356","Kab. Solok Selatan","Sumatera Barat","","Pidie","Aceh","","","","","","","","","","","","","","","",""
"357","Kab. Soppeng","Sulawesi Selatan","","Pidie Jaya","Aceh","","","","","","","","","","","","","","","",""
"358","Kab. Sorong","Papua Barat Daya","","Pinrang","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"359","Kab. Sorong Selatan","Papua Barat Daya","","Pohuwato","Gorontalo","","","","","","","","","","","","","","","",""
"360","Kab. Sragen","Jawa Tengah","","Polewali Mandar","Sulawesi Barat","","","","","","","","","","","","","","","",""
"361","Kab. Subang","Jawa Barat","","Ponorogo","Jawa Timur","","","","","","","","","","","","","","","",""
"362","Kab. Sukabumi","Jawa Barat","","Pontianak","Kalimantan Barat","","","","","","","","","","","","","","","",""
"363","Kab. Sukamara","Kalimantan Tengah","","Poso","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"364","Kab. Sukoharjo","Jawa Tengah","","Prabumulih","Sumatera Selatan","","","","","","","","","","","","","","","",""
"365","Kab. Sumba Barat","Nusa Tenggara Timur","","Pringsewu","Lampung","","","","","","","","","","","","","","","",""
"366","Kab. Sumba Barat Daya","Nusa Tenggara Timur","","Probolinggo","Jawa Timur","","","","","","","","","","","","","","","",""
"367","Kab. Sumba Tengah","Nusa Tenggara Timur","","Pulang Pisau","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"368","Kab. Sumba Timur","Nusa Tenggara Timur","","Pulau Morotai","Maluku Utara","","","","","","","","","","","","","","","",""
"369","Kab. Sumbawa","Nusa Tenggara Barat","","Pulau Taliabu","Maluku Utara","","","","","","","","","","","","","","","",""
"370","Kab. Sumbawa Barat","Nusa Tenggara Barat","","Puncak","Papua Tengah","","","","","","","","","","","","","","","",""
"371","Kab. Sumedang","Jawa Barat","","Puncak Jaya","Papua Tengah","","","","","","","","","","","","","","","",""
"372","Kab. Sumenep","Jawa Timur","","Purbalingga","Jawa Tengah","","","","","","","","","","","","","","","",""
"373","Kab. Supiori","Papua","","Purwakarta","Jawa Barat","","","","","","","","","","","","","","","",""
"374","Kab. Tabalong","Kalimantan Selatan","","Purworejo","Jawa Tengah","","","","","","","","","","","","","","","",""
"375","Kab. Tabanan","Bali","","Raja Ampat","Papua Barat Daya","","","","","","","","","","","","","","","",""
"376","Kab. Takalar","Sulawesi Selatan","","Rejang Lebong","Bengkulu","","","","","","","","","","","","","","","",""
"377","Kab. Tambrauw","Papua Barat Daya","","Rembang","Jawa Tengah","","","","","","","","","","","","","","","",""
"378","Kab. Tana Tidung","Kalimantan Utara","","Rokan Hilir","Riau","","","","","","","","","","","","","","","",""
"379","Kab. Tana Toraja","Sulawesi Selatan","","Rokan Hulu","Riau","","","","","","","","","","","","","","","",""
"380","Kab. Tanah Bumbu","Kalimantan Selatan","","Rote Ndao","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"381","Kab. Tanah Datar","Sumatera Barat","","Sabang","Aceh","","","","","","","","","","","","","","","",""
"382","Kab. Tanah Laut","Kalimantan Selatan","","Sabu Raijua","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"383","Kab. Tangerang","Banten","","Salatiga","Jawa Tengah","","","","","","","","","","","","","","","",""
"384","Kab. Tanggamus","Lampung","","Samarinda","Kalimantan Timur","","","","","","","","","","","","","","","",""
"385","Kab. Tanjung Jabung Barat","Jambi","","Sambas","Kalimantan Barat","","","","","","","","","","","","","","","",""
"386","Kab. Tanjung Jabung Timur","Jambi","","Samosir","Sumatera Utara","","","","","","","","","","","","","","","",""
"387","Kab. Tapanuli Selatan","Sumatera Utara","","Sampang","Jawa Timur","","","","","","","","","","","","","","","",""
"388","Kab. Tapanuli Tengah","Sumatera Utara","","Sanggau","Kalimantan Barat","","","","","","","","","","","","","","","",""
"389","Kab. Tapanuli Utara","Sumatera Utara","","Sarmi","Papua","","","","","","","","","","","","","","","",""
"390","Kab. Tapin","Kalimantan Selatan","","Sarolangun","Jambi","","","","","","","","","","","","","","","",""
"391","Kab. Tasikmalaya","Jawa Barat","","Sawahlunto","Sumatera Barat","","","","","","","","","","","","","","","",""
"392","Kab. Tebo","Jambi","","Sekadau","Kalimantan Barat","","","","","","","","","","","","","","","",""
"393","Kab. Tegal","Jawa Tengah","","Seluma","Bengkulu","","","","","","","","","","","","","","","",""
"394","Kab. Teluk Bintuni","Papua Barat","","Semarang","Jawa Tengah","","","","","","","","","","","","","","","",""
"395","Kab. Teluk Wondama","Papua Barat","","Seram Bagian Barat","Maluku","","","","","","","","","","","","","","","",""
"396","Kab. Temanggung","Jawa Tengah","","Seram Bagian Timur","Maluku","","","","","","","","","","","","","","","",""
"397","Kab. Timor Tengah Selatan","Nusa Tenggara Timur","","Serang","Banten","","","","","","","","","","","","","","","",""
"398","Kab. Timor Tengah Utara","Nusa Tenggara Timur","","Serdang Bedagai","Sumatera Utara","","","","","","","","","","","","","","","",""
"399","Kab. Toba","Sumatera Utara","","Seruyan","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"400","Kab. Tojo Una Una","Sulawesi Tengah","","Siak","Riau","","","","","","","","","","","","","","","",""
"401","Kab. Tolikara","Papua Pegunungan","","Sibolga","Sumatera Utara","","","","","","","","","","","","","","","",""
"402","Kab. Tolitoli","Sulawesi Tengah","","Sidenreng Rappang","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"403","Kab. Toraja Utara","Sulawesi Selatan","","Sidoarjo","Jawa Timur","","","","","","","","","","","","","","","",""
"404","Kab. Trenggalek","Jawa Timur","","Sigi","Sulawesi Tengah","","","","","","","","","","","","","","","",""
"405","Kab. Tuban","Jawa Timur","","Sijunjung","Sumatera Barat","","","","","","","","","","","","","","","",""
"406","Kab. Tulang Bawang","Lampung","","Sikka","Nusa Tenggara Timur","","","","","","","","","","","","","","","",""
"407","Kab. Tulang Bawang Barat","Lampung","","Simalungun","Sumatera Utara","","","","","","","","","","","","","","","",""
